0000000651,scans,0000000134,DataLength
"header",0000000027,"lines"
"Date",21/01/2022,"Time",01:02:33
"ID","HAL RC RGA 201 #15189","Version",3
"Scans",8
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,0.440000,1.000000,
"Scan 2","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 3","RGA","Faraday","mass",14.00,14.00,0.01,100.000%,100.000%,0.072000,1.000000,
"Scan 4","RGA","SEM","mass",15.00,15.00,0.01,100.000%,100.000%,1.373000,1.000000,
"Scan 5","RGA","Faraday","mass",17.00,17.00,0.01,100.000%,100.000%,0.207000,1.000000,
"Scan 6","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.050000,1.000000,
"Scan 7","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 8","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",870,"V"
"resolution",0,"%"
"Data",8
00:29:18,   1758307,  1.48881e-05,  2.70382e-08,  1.34823e-06,  5.70516e-10,  1.49986e-07,  1.72511e-06,  3.86499e-07,  4.66592e-09,
00:30:15,   1815052,  1.49049e-05,  2.67436e-08,  1.34524e-06,  5.69743e-10,  1.48786e-07,  1.71040e-06,  3.86749e-07,  4.53904e-09,
00:31:11,   1871796,  1.48866e-05,  2.71711e-08,  1.35271e-06,  5.75346e-10,  1.48817e-07,  1.72064e-06,  3.87374e-07,  4.35533e-09,
00:32:08,   1928541,  1.48744e-05,  2.70529e-08,  1.35420e-06,  5.70516e-10,  1.48458e-07,  1.71871e-06,  3.87623e-07,  4.36112e-09,
00:33:05,   1985286,  1.49247e-05,  2.71998e-08,  1.34673e-06,  5.65417e-10,  1.46127e-07,  1.70975e-06,  3.86873e-07,  4.19466e-09,
00:34:02,   2042031,  1.45140e-05,  2.63734e-08,  1.34673e-06,  5.66298e-10,  1.45182e-07,  1.72704e-06,  3.87123e-07,  4.10609e-09,
00:34:58,   2098776,  1.45781e-05,  2.67296e-08,  1.34972e-06,  5.71202e-10,  1.46059e-07,  1.72383e-06,  3.88123e-07,  4.07682e-09,
00:35:55,   2155521,  1.46087e-05,  2.67823e-08,  1.35271e-06,  5.68544e-10,  1.45182e-07,  1.71871e-06,  3.87374e-07,  3.91351e-09,
00:36:52,   2212266,  1.46270e-05,  2.65552e-08,  1.34823e-06,  5.76031e-10,  1.44532e-07,  1.72767e-06,  3.88249e-07,  3.82231e-09,
00:37:48,   2268990,  1.46637e-05,  2.64594e-08,  1.35420e-06,  5.79168e-10,  1.44761e-07,  1.72830e-06,  3.88623e-07,  3.63394e-09,
