,file_name,rw,Al2O3_Al1_Biso,Al2O3_Al2_Biso,Al2O3_Al3_Biso,Al2O3_O1_Biso,Al2O3_a,Al2O3_c,Al2O3_delta2,Al2O3_psize,Al2O3_scale,NiO_Ni0_Biso,NiO_O1_Biso,NiO_a,NiO_delta2,NiO_psize,NiO_scale,Ni_Ni0_Biso,Ni_O1_Biso,Ni_a,Ni_delta2,Ni_psize,Ni_scale
514,azint_UC1_Al2O3_2_0007_scan0038_pilatus_rm_NiO,0.3125117,0.589809514,3.86779353,1.24240698,1.7454067,5.65233551,7.8489718,2.68037395,60.8881429,0.32613323,,,,,,,1.19719085,,3.55466255,3.64990266,50.2347716,0.175159322
515,azint_UC1_Al2O3_2_0007_scan0039_pilatus_rm_NiO,0.31123647,0.547516021,3.6286531,1.30091355,1.71228073,5.65193587,7.8496915,2.58624906,59.8973654,0.326771902,,,,,,,1.19928651,,3.55469346,3.65961946,50.2941206,0.174603238
516,azint_UC1_Al2O3_2_0007_scan0040_pilatus_rm_NiO,0.31356616,0.524125191,3.47373426,1.32366519,1.73885204,5.65238963,7.84901283,2.68831466,61.0013467,0.322783036,,,,,,,1.20248274,,3.55464185,3.65847474,50.1238989,0.175867711
517,azint_UC1_Al2O3_2_0007_scan0041_pilatus_rm_NiO,0.31297629,0.542551317,3.35672742,1.25944933,1.77593586,5.65145329,7.85104906,2.71254301,61.0592303,0.320635959,,,,,,,1.21471908,,3.55474386,3.62109784,50.217488,0.176605832
518,azint_UC1_Al2O3_2_0007_scan0042_pilatus_rm_NiO,0.31260694,0.550323898,3.37489611,1.32858333,1.76153647,5.65185161,7.85039606,2.66865332,60.7274212,0.323808508,,,,,,,1.20759969,,3.55465032,3.66426293,50.3907262,0.175788797
519,azint_UC1_Al2O3_2_0007_scan0043_pilatus_rm_NiO,0.31294251,0.527857049,3.17896962,1.30578754,1.75683276,5.65252,7.84828982,2.68049242,60.813447,0.320991715,,,,,,,1.20387132,,3.55466003,3.6274617,50.3893957,0.17538081
520,azint_UC1_Al2O3_2_0007_scan0044_pilatus_rm_NiO,0.31130125,0.537265539,3.52856028,1.29199514,1.73534854,5.65223058,7.8487711,2.6614721,60.7018479,0.323842586,,,,,,,1.19930811,,3.55467731,3.60269452,50.2192377,0.175803825
521,azint_UC1_Al2O3_2_0007_scan0045_pilatus_rm_NiO,0.31115311,0.557254337,3.52136373,1.25290076,1.7937823,5.65184513,7.84998753,2.6453629,60.0620865,0.327863963,,,,,,,1.19635207,,3.55464591,3.6611438,50.4526937,0.174227383
522,azint_UC1_Al2O3_2_0007_scan0046_pilatus_rm_NiO,0.30991342,0.569187225,3.7552495,1.24180223,1.76095768,5.65187106,7.84956026,2.62278592,60.0266891,0.328916516,,,,,,,1.19859363,,3.55464306,3.66301127,50.5142997,0.174611217
523,azint_UC1_Al2O3_2_0007_scan0047_pilatus_rm_NiO,0.31098079,0.509744302,3.26244242,1.33381477,1.76229952,5.65231682,7.84951373,2.64839746,60.8230793,0.323534404,,,,,,,1.20512412,,3.55474034,3.5774425,50.6579831,0.175078382
524,azint_UC1_Al2O3_2_0007_scan0048_pilatus_rm_NiO,0.3102999,0.528886557,3.36623909,1.35249213,1.69078765,5.65210842,7.85050347,2.67857547,60.9805899,0.320277349,,,,,,,1.20369765,,3.55476369,3.70626951,50.3393446,0.175449111
525,azint_UC1_Al2O3_2_0007_scan0049_pilatus_rm_NiO,0.31283241,0.538568554,3.52424621,1.28650444,1.74743374,5.65255632,7.84849655,2.67274072,60.6811651,0.324896118,,,,,,,1.2036086,,3.55472089,3.60841996,50.5178704,0.175469025
526,azint_UC1_Al2O3_2_0007_scan0050_pilatus_rm_NiO,0.31074894,0.526961759,3.50162348,1.34225799,1.75114566,5.65226383,7.85036603,2.62565003,60.6774059,0.32623973,,,,,,,1.20234859,,3.55479191,3.6475774,50.4621461,0.17545187
527,azint_UC1_Al2O3_2_0007_scan0051_pilatus_rm_NiO,0.3103803,0.558970191,3.6972742,1.32307477,1.72883862,5.65203227,7.84942513,2.6658998,60.5884855,0.327384661,,,,,,,1.20676175,,3.55479332,3.65553397,50.6164677,0.175604577
528,azint_UC1_Al2O3_2_0007_scan0052_pilatus_rm_NiO,0.31173478,0.543677402,3.46550042,1.26048364,1.80090793,5.65222236,7.85074644,2.65458031,60.7948633,0.325168815,,,,,,,1.2074024,,3.55518694,3.54550063,50.4441985,0.175709527
529,azint_UC1_Al2O3_2_0007_scan0053_pilatus_rm_NiO,0.30978598,0.547046238,3.65075092,1.2842618,1.73524375,5.65228105,7.84981708,2.65502643,60.5560827,0.32555166,,,,,,,1.19619792,,3.55475397,3.69393755,50.7024722,0.174564048
530,azint_UC1_Al2O3_2_0007_scan0054_pilatus_rm_NiO,0.31314637,0.540272683,3.39535005,1.2626945,1.74420035,5.65211506,7.84892086,2.66670153,61.1417263,0.320501804,,,,,,,1.20352286,,3.55483811,3.69024306,50.7723963,0.174821736
531,azint_UC1_Al2O3_2_0008_scan0001_pilatus_rm_NiO,0.30925597,0.548019945,3.51460671,1.28755127,1.7505282,5.6518736,7.84920601,2.66234714,60.7612991,0.324753365,,,,,,,1.19982195,,3.55414854,3.62871117,50.5189853,0.174467167
532,azint_UC1_Al2O3_2_0008_scan0002_pilatus_rm_NiO,0.31168961,0.52831292,3.52409972,1.31581899,1.74715998,5.65230166,7.84784798,2.5992925,60.2881519,0.327946766,,,,,,,1.21548533,,3.55423306,3.68325606,50.8038579,0.173252786
533,azint_UC1_Al2O3_2_0008_scan0003_pilatus_rm_NiO,0.31463688,0.55826741,3.59381234,1.29229402,1.7783094,5.65159221,7.85008214,2.68244293,60.8421661,0.32654562,,,,,,,1.20974074,,3.55421741,3.63509601,50.5859853,0.173737775
534,azint_UC1_Al2O3_2_0008_scan0004_pilatus_rm_NiO,0.31125304,0.540362956,3.56658816,1.31921168,1.7741118,5.65202162,7.8494352,2.62199847,60.436018,0.329866373,,,,,,,1.19881699,,3.55426661,3.61813613,50.6101638,0.172049162
535,azint_UC1_Al2O3_2_0008_scan0005_pilatus_rm_NiO,0.31100938,0.522753617,3.38181801,1.28178723,1.77212941,5.65186114,7.84965773,2.6704567,60.8754681,0.323425197,,,,,,,1.19523911,,3.55427082,3.62554505,50.4538618,0.172014161
536,azint_UC1_Al2O3_2_0008_scan0006_pilatus_rm_NiO,0.31139414,0.553024553,3.76009896,1.28007207,1.72359686,5.65139283,7.85039627,2.66876527,60.5666075,0.326724918,,,,,,,1.19533257,,3.55423837,3.62182537,50.4777119,0.17222229
537,azint_UC1_Al2O3_2_0008_scan0007_pilatus_rm_NiO,0.313887,0.544315296,3.3671988,1.202886,1.82367601,5.65189919,7.84903304,2.71871321,61.4334825,0.32300734,,,,,,,1.20848967,,3.5542553,3.65653682,50.6286251,0.172357416
538,azint_UC1_Al2O3_2_0008_scan0008_pilatus_rm_NiO,0.31106737,0.576677545,3.86026193,1.26181202,1.75234729,5.65183759,7.84941997,2.65268478,60.6037594,0.329751809,,,,,,,1.20423637,,3.55433029,3.70257502,50.8859886,0.171017287
539,azint_UC1_Al2O3_2_0008_scan0009_pilatus_rm_NiO,0.31157862,0.53231787,3.44522699,1.32427703,1.74194118,5.65249173,7.84878817,2.6321613,60.665427,0.326724986,,,,,,,1.19279901,,3.55432696,3.62620795,50.6497245,0.171159683
540,azint_UC1_Al2O3_2_0008_scan0010_pilatus_rm_NiO,0.31567346,0.55055294,3.29341977,1.22189141,1.80641671,5.65271482,7.84932039,2.69257703,61.3255298,0.322524225,,,,,,,1.19665887,,3.55443351,3.69876573,50.582259,0.170775101
541,azint_UC1_Al2O3_2_0008_scan0011_pilatus_rm_NiO,0.31376419,0.583606569,3.78965757,1.25366635,1.76747992,5.6522836,7.84889136,2.65447845,60.6212853,0.329041999,,,,,,,1.1975954,,3.5543572,3.59140539,50.4219065,0.171405499
542,azint_UC1_Al2O3_2_0008_scan0012_pilatus_rm_NiO,0.31181821,0.554887701,3.68040442,1.30485959,1.74726312,5.6515858,7.8500052,2.60061024,60.385095,0.330675038,,,,,,,1.19622075,,3.55429014,3.63183826,50.7707071,0.170302413
543,azint_UC1_Al2O3_2_0008_scan0013_pilatus_rm_NiO,0.31698747,0.548021893,3.63389839,1.27326071,1.73780611,5.65228678,7.85010921,2.72338066,61.1542283,0.324012485,,,,,,,1.20047721,,3.55458077,3.62310043,50.4092912,0.171370792
544,azint_UC1_Al2O3_2_0008_scan0014_pilatus_rm_NiO,0.3166524,0.553471095,3.63933624,1.3367962,1.69330897,5.65185501,7.85102552,2.68118222,60.5226517,0.325526613,,,,,,,1.2090706,,3.55468347,3.65007901,50.664932,0.170811098
545,azint_UC1_Al2O3_2_0008_scan0015_pilatus_rm_NiO,0.31375845,0.566438615,3.91267646,1.31020649,1.70574631,5.65205556,7.84951599,2.63572782,60.4338346,0.329724636,,,,,,,1.2001927,,3.55460064,3.68809455,50.9451101,0.169550061
546,azint_UC1_Al2O3_2_0008_scan0016_pilatus_rm_NiO,0.31444832,0.533407884,3.26827573,1.27496289,1.76107031,5.6521687,7.84980333,2.69629589,61.2235395,0.321755751,,,,,,,1.20613738,,3.55454102,3.67488126,50.9556943,0.169506288
547,azint_UC1_Al2O3_2_0008_scan0017_pilatus_rm_NiO,0.31421539,0.535580538,3.50357332,1.32085727,1.74767671,5.65246112,7.8502379,2.67961412,60.7498523,0.3255761,,,,,,,1.19878646,,3.5547609,3.65301016,50.7197898,0.169111235
548,azint_UC1_Al2O3_2_0008_scan0018_pilatus_rm_NiO,0.31070634,0.52696807,3.54835158,1.38309238,1.7072163,5.652289,7.85025638,2.61644201,60.4232721,0.328180656,,,,,,,1.19512785,,3.55473151,3.66738982,51.1365363,0.167731017
549,azint_UC1_Al2O3_2_0008_scan0019_pilatus_rm_NiO,0.31198315,0.539163724,3.72181117,1.30709636,1.74252312,5.65211587,7.84983983,2.65818023,60.5599711,0.328684014,,,,,,,1.18818984,,3.55465255,3.63499137,50.8432471,0.168352587
550,azint_UC1_Al2O3_2_0008_scan0020_pilatus_rm_NiO,0.31389077,0.557928112,3.72818805,1.23110926,1.73149728,5.65234153,7.84960544,2.67440973,60.3429403,0.326169756,,,,,,,1.1931175,,3.55442576,3.64551258,50.7495779,0.168971141
